Model,Precision,Recall,F1,AUC
MVG Baseline,0.1552,0.931,0.266,0.7768
MVG Ledoit-Wolf,0.1552,0.931,0.266,0.7833
Elliptic Envelope,0.75,0.3103,0.439,0.7629
MVG CDF-based,0.1412,0.8621,0.2427,0.7659
MVG Asymmetric,0.6087,0.4828,0.5385,0.2868
Student-t (ν=2),0.1579,0.931,0.27,0.7768
Factor Model (k=1),0.6429,0.3103,0.4186,0.7836
Graphical Lasso,0.1508,0.931,0.2596,0.7785
