Model,Precision,Recall,F1,AUC
Random Forest Baseline,1.0,0.3391304347826087,0.5064935064935064,0.9180409795102449
SVM Baseline,0.8505747126436781,0.6434782608695652,0.7326732673267327,0.8672163918040979
Random Forest + SMOTE,0.9324324324324325,0.6,0.7301587301587301,0.9212893553223389
XGBoost,0.9459459459459459,0.6086956521739131,0.7407407407407407,0.9071464267866067
XGBoost + SMOTE,0.922077922077922,0.6173913043478261,0.7395833333333334,0.9023488255872064
Best Supervised (Optuna),0.9036144578313253,0.6521739130434783,0.7575757575757576,0.8916541729135432
