Model,Precision,Recall,F1,AUC
AE k=12,0.4473684210526316,0.5862068965517241,0.5074626865671642,0.7658670664667667
AE Group-Decomposed,0.42857142857142855,0.6206896551724138,0.5070422535211268,0.7731134432783608
LSTM-AE,0.5882352941176471,0.3448275862068966,0.43478260869565216,0.7905491698595147
AE + Directional Filter,0.55,0.3793103448275862,0.4489795918367347,0.7658670664667667
LSTM-AE + Directional Filter,0.5555555555555556,0.1724137931034483,0.2631578947368421,0.7905491698595147
HMM-Routed (AE+LSTM),0.7692307692307693,0.3448275862068966,0.47619047619047616,0.768615692153923
HMM-Routed + Directional Filter,0.8333333333333334,0.1724137931034483,0.2857142857142857,0.768615692153923
